run,epoch,bank,joint,joint_delta_parent,joint_delta_native_same_epoch,run_status,source,bbat/ball/box/map50_95,bbat/ball/pose/map50_95,bbat/bat/box/map50_95,bbat/bat/pose/map50_95,bbat/box/map50_95,bbat/pose/map50_95,coco/box/map50_95,coco/person/box/map50_95,bbat/ball/box/map50_95_delta_parent,bbat/ball/pose/map50_95_delta_parent,bbat/bat/box/map50_95_delta_parent,bbat/bat/pose/map50_95_delta_parent,bbat/box/map50_95_delta_parent,bbat/pose/map50_95_delta_parent,coco/box/map50_95_delta_parent,coco/person/box/map50_95_delta_parent
rep17,1,live,0.7072006482108764,-0.003974090764388927,,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.4934536179658159,0.8533129614769897,0.751162742872313,0.943722008096746,0.6223081804190644,0.8985174847868678,0.4963313740432981,0.6203287170182837,-0.013983418221512833,-0.006595753714786823,-0.0014712644544896403,-0.0038036249373674114,-0.007727341338001126,-0.005199689326077062,-0.0016909624276240653,-5.27714041651528e-05
rep17,2,ema,0.7108172763873187,-0.0003574625879465554,-0.0002496546031979241,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.5063458057200585,0.8583506097067408,0.7523770662899774,0.9477616979475767,0.6293614360050178,0.9030561538271588,0.49814896303608547,0.6204636752411725,-0.001091230467270221,-0.0015581054850356546,-0.0002569410368252756,0.00023606491346328529,-0.0006740857520477483,-0.0006610202857860736,0.0001266265651633236,8.218681872362854e-05
rep17,2,live,0.7073853867793272,-0.0037893521959381227,,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.49423990575683624,0.8559553665471936,0.7503959830160004,0.9427213891945702,0.6223179443864184,0.8993383778708818,0.495990985138276,0.6199412486301774,-0.013197130430492476,-0.003953348644582855,-0.0022380243108022224,-0.004804243839543254,-0.007717577370647155,-0.004378796242063054,-0.0020313513326461474,-0.0004402397922714796
rep17,3,ema,0.7108208400132181,-0.0003538989620471833,-0.0001978795520917176,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.5057304504599462,0.8592375813705091,0.7512974287441198,0.9473185622200667,0.6285139396020331,0.9032780717952879,0.49824284590476253,0.620791270968719,-0.0017065857273824703,-0.0006711338212673779,-0.001336578582682879,-0.0002070708140466948,-0.0015215821550325082,-0.0004391023176569808,0.0002205094338403879,0.0004097825462701099
rep17,3,live,0.7060296972812503,-0.0051450416940149735,,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.4944715127494074,0.8511334875869917,0.7505550282924138,0.9420815808303911,0.6225132705209107,0.8966075342086913,0.4948326411214202,0.6195875063465376,-0.01296552343792129,-0.008775227604784774,-0.002078979034388806,-0.005444052203722349,-0.007522251236154909,-0.007109639904253506,-0.00318969534950192,-0.0007939820759113037
rep17,4,ema,0.7105404138414859,-0.0006343251337793676,0.0004883534963181502,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.5051207942242469,0.8580036935576111,0.7519062572874516,0.9471901069342372,0.6285135257558493,0.9025969002459242,0.4981895680694568,0.6208051748902752,-0.0023162419630817777,-0.0019050216341653936,-0.0007277500393509939,-0.0003355260998761933,-0.0015219960012162748,-0.001120273867020627,0.0001672315985346562,0.0004236864678263119
rep17,4,live,0.708379211899173,-0.002795527076092319,,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.49166017466462975,0.8582969766910914,0.7548050757298218,0.9437245576823996,0.6232326251972258,0.9010107671867456,0.49618823469052503,0.6204536652346223,-0.01577686152269897,-0.0016117385006850782,0.002171068403019172,-0.003801075351713812,-0.006802896559839788,-0.0027064069261992785,-0.0018341017803971127,7.217681217341898e-05
rep17,5,ema,0.710434098399341,-0.0007406405759242674,0.00031804277565239403,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.5035077795996904,0.85833179334876,0.7515548408983672,0.9473880747909249,0.6275313102490288,0.9028599340698426,0.4980581654105821,0.620861148197409,-0.003929256587638319,-0.0015769218430164988,-0.0010791664284354185,-0.00013755824318850696,-0.0025042115080368132,-0.0008572400431022809,3.5828939659976466e-05,0.00047965977496011725
rep17,5,live,0.7092382537085873,-0.0019364852666780008,,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.5047678976897751,0.8579304949775919,0.7517072768299674,0.9442192416834511,0.6282375872598714,0.9010748683305214,0.49599180546103744,0.6198121391609848,-0.0026691384975535692,-0.0019782202141845895,-0.0009267304968352263,-0.003306391350662352,-0.0017979344971941202,-0.0026423057824234153,-0.0020305310098847063,-0.0005693492614641249
masf_off,1,ema,0.7102720871467312,-0.0009026518285341067,-0.0009539172334449564,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.5056576817048779,0.8555063044292772,0.7525656107416051,0.9476950971035182,0.6291116462232413,0.9016007007663976,0.4987878247561379,0.6202595632214808,-0.0017793544824508123,-0.004402410762499254,-6.839658519752767e-05,0.00016946406940476777,-0.0009238755338242255,-0.0021164733465471874,0.0007654882852157763,-0.00012192520096809822
