path,region,format,granularity,elements,nrmse,cosine,estimated_packed_bytes,original_exact_zero_ratio,original_mean_absolute,original_maximum_absolute,original_standard_deviation,max_to_rms_proxy,quantized_zero_ratio
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,w5,per_output_channel,131072,0.07230412471154223,0.9973826262179694,83968,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.104248046875
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,w4,per_output_channel,131072,0.1368655367707283,0.9905897278067785,67584,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.18161773681640625
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,fixed-sd4,per_output_channel,131072,0.17962670306879636,0.9837348590729218,67584,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.0250396728515625
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,exact-ternary,per_tensor,131072,0.4861080143719358,0.8738988224415657,32772,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.5240097045898438
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,twn-v3,per_output_filter,131072,0.47527689540947665,0.8798362876083491,34816,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.46738433837890625
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,paper-twn-v2,per_tensor,131072,0.4913456875278941,0.870964646439653,32772,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.45397186279296875
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,w8,per_output_channel,131072,0.00867104773440361,0.999962371347036,132096,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.0125885009765625
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,w7,per_output_channel,131072,0.01736014918422014,0.9998492515482928,115712,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.0242462158203125
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,w6,per_output_channel,131072,0.03455444029550182,0.9994028180093694,99328,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.047637939453125
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,w5,per_output_channel,131072,0.0667660633711586,0.9977686190189364,82944,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.08863067626953125
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,w4,per_output_channel,131072,0.12241304112118642,0.9924792711168701,66560,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.1528472900390625
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,fixed-sd4,per_output_channel,131072,0.18533677715014207,0.982675048487994,66560,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.02303314208984375
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,exact-ternary,per_tensor,131072,0.49013648111160396,0.8716455859606567,32772,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.5296859741210938
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,twn-v3,per_output_filter,131072,0.454703810636142,0.8906426782534338,33792,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.45980072021484375
graph.model.10.m.0.ffn.1.conv,backbone_attention_safe,paper-twn-v2,per_tensor,131072,0.4955728091019454,0.8685663720631376,32772,0.0,0.06443292647600174,1.4909276962280273,0.08511612564325333,17.51515295630319,0.455780029296875
graph.model.13.cv1.conv,neck,w8,per_output_channel,524288,0.01335321463137189,0.9999108636820128,526336,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.0211181640625
graph.model.13.cv1.conv,neck,w7,per_output_channel,524288,0.02662993681663393,0.9996452860889126,460800,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.04137992858886719
graph.model.13.cv1.conv,neck,w6,per_output_channel,524288,0.052025206480420465,0.9986457545380196,395264,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.07843017578125
graph.model.13.cv1.conv,neck,w5,per_output_channel,524288,0.09600344533427874,0.9953810687188459,329728,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.13534164428710938
graph.model.13.cv1.conv,neck,w4,per_output_channel,524288,0.16318136163396585,0.9865960995094682,264192,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.21161270141601562
graph.model.13.cv1.conv,neck,fixed-sd4,per_output_channel,524288,0.18694205103554035,0.9823709028406159,264192,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.04009056091308594
graph.model.13.cv1.conv,neck,exact-ternary,per_tensor,524288,0.520714386813802,0.8537310366163375,131076,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.5687999725341797
graph.model.13.cv1.conv,neck,twn-v3,per_output_filter,524288,0.4963259867822618,0.8681362305794028,133120,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.47455787658691406
graph.model.13.cv1.conv,neck,paper-twn-v2,per_tensor,524288,0.5290551190892152,0.8485875580141968,131076,0.0,0.058594584465026855,2.6426920890808105,0.08014053106307983,32.92672923354334,0.4733238220214844
graph.model.13.cv2.conv,neck,w8,per_output_channel,393216,0.011989044900976558,0.9999281094996737,395264,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.01820882223546505
graph.model.13.cv2.conv,neck,w7,per_output_channel,393216,0.023988996533598973,0.9997123064704247,346112,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.03590647503733635
graph.model.13.cv2.conv,neck,w6,per_output_channel,393216,0.047365689803674976,0.9988775554367152,296960,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.0690155029296875
graph.model.13.cv2.conv,neck,w5,per_output_channel,393216,0.08920005305459115,0.9960137724380529,247808,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.12246958166360855
graph.model.13.cv2.conv,neck,w4,per_output_channel,393216,0.15550690933730466,0.9878348695224151,198656,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.1948089599609375
graph.model.13.cv2.conv,neck,fixed-sd4,per_output_channel,393216,0.18595221523686323,0.9825588668079968,198656,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.0343373604118824
graph.model.13.cv2.conv,neck,exact-ternary,per_tensor,393216,0.5167125589206766,0.8561588551418534,98308,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.5581639409065247
graph.model.13.cv2.conv,neck,twn-v3,per_output_filter,393216,0.48805848489628073,0.8728108896692717,100352,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.468841552734375
graph.model.13.cv2.conv,neck,paper-twn-v2,per_tensor,393216,0.5241200931795815,0.8516443670484921,98308,0.0,0.05039255693554878,1.1051828861236572,0.0682617649435997,16.138342738247164,0.46779122948646545
graph.model.13.m.0.cv1.conv,neck,w8,per_output_channel,32768,0.009864531962072908,0.9999513685959426,33280,0.0,0.08465077728033066,1.2169160842895508,0.11934681981801987,10.13368350394518,0.01800537109375
graph.model.13.m.0.cv1.conv,neck,w7,per_output_channel,32768,0.019872525024682997,0.9998025524150461,29184,0.0,0.08465077728033066,1.2169160842895508,0.11934681981801987,10.13368350394518,0.03546142578125
graph.model.13.m.0.cv1.conv,neck,w6,per_output_channel,32768,0.039885865064183006,0.9992041908639451,25088,0.0,0.08465077728033066,1.2169160842895508,0.11934681981801987,10.13368350394518,0.070587158203125
