split,experiment,seed,comparison_tier,map50_95,map50,map75,ap_s,ap_m,ap_l,ball_ap,ball_ap_s,ball_recall,bat_ap,tiny_ball_recall,small_ball_recall,large_ball_recall,checkpoint_sha256
val,P3-Partial50-Clean,42,strict_fair,0.41551074839263086,0.6431123259618365,0.4440335705876305,0.20721490674259094,0.6871801300485133,0.7583861957870415,0.18823433207672052,0.15926446116218937,0.7608695652173914,0.6427871647085411,1.0,0.7803030303030303,0.6870229007633588,5399cf421af88410b91086c69afcc2bb9ffb8a54913328d82ff28b7740547400
val,P3-Partial50-Clean,43,strict_fair,0.44579843653723816,0.6430658264926616,0.4951241846552055,0.21977204232589598,0.7388339360701749,0.8605060506050605,0.19514885948068497,0.1498487326718872,0.42995169082125606,0.6964480135937915,0.8421052631578947,0.3333333333333333,0.5648854961832062,0f495cdbe4cdda7ae82e0ab59348f753af10581bddb2e3a312b67c443079415b
val,P3-Partial25-Clean,42,strict_fair,0.44216432287377894,0.6251134318293664,0.4994320249496901,0.19295742312149256,0.7484765230709415,0.9151499708794409,0.1945059482720876,0.15300754844624764,0.3961352657004831,0.6898226974754704,0.9473684210526315,0.32196969696969696,0.46564885496183206,bc7ebca210def1a95a2f59cb1f5c6da6b68cbc48c0477379ea5a90077ddb5a5f
val,P3-Partial25-Clean,43,strict_fair,0.4569055067010614,0.6566500268137693,0.5040793373769089,0.23180406744123222,0.7364209210514839,0.8890564056405641,0.2206842875849584,0.1752671924258024,0.4758454106280193,0.6931267258171644,0.6842105263157895,0.36363636363636365,0.6717557251908397,76494ac115003e953d112bf9ae4914a0a89bad8ce8ba32a2a4013f03039fac61
val,P2-Control-Clean-Head,42,optimization_control,0.0075701628535642,0.00948852594579169,0.009488448844884487,3.084036288004579e-08,0.007570132013201319,0.0,6.168072576009158e-08,6.168072576009158e-08,0.050724637681159424,0.015140264026402638,0.0,0.03409090909090909,0.0916030534351145,75647cfe35340c5c9a046a81fa64f7375f696a4920cf9cf35694ed07ee67eb80
val,P2-Control-Clean-Head,43,optimization_control,0.0044033102145842155,0.009032296459416904,0.00416624080359098,0.0004350014831404865,0.007510716062225906,0.1365175989331769,0.0022630679486713382,0.0005361018436046449,0.3526570048309179,0.006543552480497091,0.5789473684210527,0.32954545454545453,0.366412213740458,2ff70727eb966e59dd31630853105104c4e784ca28caf85c7c707b647301da8f
val,P2-Control-Clean-Full,42,optimization_control,0.5202864553331609,0.8134404238332498,0.4990416127246238,0.39836840884054736,0.7565651726323886,0.8736195048076236,0.33419499270200825,0.30178487521104214,0.8502415458937198,0.7063779179643133,0.8421052631578947,0.9356060606060606,0.6793893129770993,4744ce87fc8f44ab896271c129df252548ca353ff8adb834cd16e20a83cd1f4d
val,P2-Control-Clean-Full,43,optimization_control,0.4654755325783013,0.6648833213342389,0.5246957064014505,0.3027149700128411,0.7613209058995376,0.932079207920792,0.2045630252941376,0.16089067908327948,0.42995169082125606,0.726388039862465,0.7368421052631579,0.3446969696969697,0.5572519083969466,ecb0c85868aea1b5fbf28802897dad3b358d6ad51f88f07f86589940020dcee0
test,B0-Clean,42,strict_fair,0.4939444310977764,0.7608880807809889,0.5352503500803876,0.21441974288274154,0.5167528014767079,0.5944857173597731,0.4255343540496897,0.24862161349866643,0.9165009940357853,0.5623545081458631,0.24,0.9032258064516129,0.9828767123287672,834c09acea234007f32c8f3c2a682ae1aa7eb0744bcbd5e9b1d20ec1ea42530a
test,B0-Clean,43,strict_fair,0.5911618369695245,0.8424296986141875,0.6587196887440836,0.34039683753695543,0.6440562327846076,0.6746704003311619,0.5318082843810443,0.3611729668085267,0.9343936381709742,0.6505153895580047,0.4,0.956989247311828,0.9657534246575342,d7c191bfbd1074da4b8f30def0460b9ad51b4c37b46c0498c9c82aded827a968
